Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
101;APPARATUS AND METHOD FOR REMOVING THE UPPER INTERNALS FROM A NUCLEAR REACTOR PRESSURIZED VESSEL;A lifting fixture for removing the upper internals from a reactor to provide access to the core for refueling that does not require flooding of a refueling canal. The invention provides a means of shielding and ventilation that is integral to a lifting rig used to remove the upper internals. The lifting rig provides a means for personnel to decouple the drive rods from the rod cluster control assemblies so the drive rods can be lifted from the core with the upper internals while shielding maintenance personnel without flooding the area above the reactor.;HARKNESS ALEXANDER W [US];"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2946390A2 
EP2946390A4 
EP2946390B1";15.01.2013;"G21C1/32 
G21C19/02 
G21C19/10 
G21C19/20 
G21C1/08";"G21C1/086 (EP,US) 
G21C19/02 (EP,CN,US) 
G21C19/10 (US) 
G21C19/20 (EP,US) 
G21C19/207 (CN) 
G21C1/32 (EP,US) 
G21C19/207 (EP,US) 
Y02E30/30 (EP,US)";"2015-11-25 
2016-08-24 
2018-10-24";17.07.2014;51165137
102;Storage rack assembly for storing nuclear fuel elements;The storage rack arrangement includes storage racks (1) arranged next to one another and connected to one another at the top. One or more base plates are provided with positioning pieces which fit with the positioning components (6) of the storage racks in order to position the storage racks with respect to the base plate or base plates to prevent displacement of the storage racks on the base plate or base plates.;KIELBOWICZ STANISLAW [CH];CCI AG [CH];"EP2209125A1 
EP2209125B1";09.01.2009;"G21C19/06 
G21C19/07 
G21F7/00";"G21C19/07 (EP,US) 
Y02E30/30 (EP)";"2010-07-21 
2013-05-15";14.07.2010;41202654
103;DISPOSITIF DE DECLENCHEMENT ET D'INSERTION D'ELEMENTS ABSORBANTS ET/OU MITIGATEURS DANS UNE ZONE FISSILE D'UN REACTEUR NUCLEAIRE ET ASSEMBLAGE DE COMBUSTIBLE NUCLEAIRE COMPORTANT UN TEL DISPOSITIF;SystËme de dÈclenchement et d'insertion d'un absorbant neutronique et/ou de mitigateur (2) dans une zone fissile d'un rÈacteur nuclÈaire, destinÈ ‡ Ítre montÈ dans un assemblage de combustible nuclÈaire dans lequel circule un caloporteur, ledit systËme comportant une capsule (10) munie de moyens de maintien (11) de l'absorbant (2) en position non insÈrÈe, une surface de butÈe (24) formant des moyens de verrouillage des moyens de maintien (11) et une surface de poussÈe (26) formant des moyens pour libÈrer l'absorbant, lesdites surfaces Ètant portÈe par une tÍte de commande (18). Une virole (19) se dilate longitudinalement de maniËre diffÈrentielle par rapport ‡ la capsule (10) sous l'effet de l'ÈlÈvation de la tempÈrature du caloporteur et dÈplace lesdites surface (24, 26) de sorte que la surface de butÈe soit ÈloignÈe des moyens de maintien ‡ la tempÈrature normal de fonctionnement du rÈacteur, et la surface de poussÈe (26) libËre l'absorbant ‡ une tempÈrature seuil.;"LORENZO DENIS [FR] 
ESCLEINE JEAN MICHEL [FR] 
MAILHE GUY [FR] 
RAVENET ALAIN [FR]";"COMMISSARIAT ENERGIE ATOMIQUE [FR] 
ELECTRICITE DE FRANCE [FR]";"FR2983625A1 
FR2983625B1";02.12.2011;"G21C1/00 
G21C3/30 
G21C9/027";"G21C3/326 (EP) 
G21C7/12 (RU) 
G21C9/027 (EP,RU) 
G21C1/02 (EP) 
G21C1/06 (EP) 
Y02E30/30 (EP)";"2013-06-07 
2014-02-07";06.06.2013;47257850
104;FUEL ROD CLADDING, FUEL ROD AND FUEL ASSEMBLY;The invention relates to the field of nuclear engineering and can be used in the manufacture of fuel rods and fuel assemblies for heavy liquid metal cooled reactors, and also in the manufacture of fuel rod simulators for use in irradiation devices designed to test the operability of real fuel assemblies. The present cladding of a fuel rod for a heavy liquid metal cooled reactor is in the form of a weldless tubular element with helically-coiled fins disposed on the outer surface of said element, which is made from a ferritic-martensitic chromium-silicon steel with a minimum ferrite grain size of 7 on the GOST 5639 scale, wherein each fin has an opening angle of from 22 to 40∫ (preferably from 30 to 40∫) and the cross-section of the fin is in the shape of a trapezoid with rounded corners at the top of the trapezoid and smooth corners at the base of the trapezoid. Also disclosed are a fuel rod comprising the above cladding, and a fuel assembly. The technical result of the invention is an improvement in the performance characteristics of fuel rods and assemblies as a result of the long-term resistance of the cladding in the environment of a heavy liquid metal coolant such as lead or a eutectic of lead and bismuth.;"DERUNOV VIACHESLAV VASILIEVICH [RU] 
MAYOROV VIKTOR MIHAILOVICH [RU] 
POMESCHIKOV PAVEL ANDREEVICH [RU] 
RUSANOV ALEKSANDER EVGENIEVICH [RU] 
SMIRNOV ALEKSANDR ALEKSEEVICH [RU] 
SHULEPIN SERGEY VIKTOROVICH [RU] 
SHARIKPULOV SAID MIRFAISOVICH [RU]";"AKME ENGINEERING JOINT STOCK CO [RU] 
JOINT STOCK COMPANY AKME-ENGINEERING [RU] 
AKME ENG JOINT STOCK CO [RU]";"EP3076397A1 
EP3076397A4 
EP3076397B1";19.11.2013;"G21C3/07 
G21C3/08 
G21C21/02 
G21C3/04 
G21C3/30";"G21C1/03 (US) 
G21C21/02 (KR) 
G21C3/04 (KR) 
G21C3/07 (EP,KR,US) 
G21C3/08 (EP,KR,US) 
G21C3/12 (US) 
G21C21/02 (EP,US) 
G21C3/04 (EP,US) 
G21C3/30 (EP,US) 
Y02E30/30 (EP,KR,US)";"2016-10-05 
2017-04-12 
2018-08-22";27.05.2015;53179862
105;DEVICE AND METHOD FOR SEAL VERIFICATION BY PENETRANT INSPECTION OF A NUCLEAR FUEL ASSEMBLY;The present invention relates to a seal verification device for verifying the seal of a nuclear fuel assembly (18) by penetrant inspection, comprising a collection assembly (32) that is configured to close an upper end (24A) of a cell (24) of a storage rack (22) for storing nuclear fuel assembly/ies (18) discharged from a nuclear reactor (4), so as to prevent water contained in the cell (24) from escaping via the upper end (24A) of the cell (24), and to collect products containing possible fission products released by a nuclear fuel assembly (18) contained in the cell (24).;"COUSTOURIER FRANCK [FR] 
ROILLET SERGE [FR]";FRAMATOME SA [FR];"EP3583610A1 
EP3583610B1";15.02.2017;"G21C17/07 
G21C19/07";"G21C17/07 (EP,KR,US) 
G21C19/07 (KR) 
G21C19/07 (EP,US) 
Y02E30/30 (EP)";"2019-12-25 
2020-12-30";17.08.2018;59296925
106;CONNECTION ARRANGEMENT FOR MECHANICALLY CONNECTING A FIRST ELEMENT AND A SECOND ELEMENT, SUCH AS A GUIDE TUBE AND A TIE PLATE OF A NUCLEAR FUEL ASSEMBLY;The connection arrangement is for the mechanical connection of a first element (4) having a connection portion (8) to a second element (6) having a housing (10), the connection arrangement comprising a connection ring (12) received inside the housing (10) being pivotable between an insertion/extraction position allowing insertion/extraction of the connection portion (8) into the housing (10) and a connection position preventing extraction of the connection portion (8) from the housing (10), and a locking ring (20) axially movable along the center axis (A) between a locked position preventing rotation of the connection ring (12) and an unlocked position allowing rotation of the connection ring (12) between the connection position and the insertion/extraction position.;LABARRIERE ERIC [FR];FRAMATOME SA [FR];EP4016546A1;18.12.2020;"F16B7/20 
G21C3/334";"F16L37/107 (EP) 
F16L37/113 (EP) 
G21C3/3315 (EP) 
G21C3/334 (EP) 
Y02E30/30 (EP)";22.06.2022;22.06.2022;75302200
107;PIPE BASE REPAIR METHOD AND NUCLEAR REACTOR VESSEL;"A nozzle repair method and a nuclear reactor vessel include: removing a trepanning portion (208) as a connection portion with respect to an in-core instrumentation cylinder (204) in a groove-welding portion (206); removing the in-core instrumentation cylinder (204) from a semi-spherical portion (66) as a lower end plate; forming a surface buttered-welding portion (210) by buttered-welding the surface of the groove-welding portion (206); forming a welding groove (212) by grooving the surface buttered-welding portion (210); inserting a new in-core instrumentation cylinder (204A) provided with a circumferential groove portion (204f) outside an instrumentation equipment guide passage (204d) into an attachment hole (203); and fixing the new in-core instrumentation cylinder (204A) by groove-welding the welding groove (212). Accordingly, since the nozzle welding area is suppressed to a predetermined range, the workability of the repair is improved.";"NISHIMURA TSUYOSHI [JP] 
YAMAMOTO TAKESHI [JP] 
SAKASHITA HIDESHI [JP] 
TSUBOI KENSUKE [JP] 
SATO TOMONOBU [JP]";MITSUBISHI HEAVY IND LTD [JP];"EP2940694A1 
EP2940694A4 
EP2940694B1";28.12.2012;"G21C13/00 
G21C13/036 
G21C17/003 
G21C17/017 
G21C17/10 
G21C19/02 
G21C19/20";"G21C13/036 (EP,US) 
G21C17/017 (EP,US) 
G21C19/02 (EP,US) 
G21C19/207 (EP,US) 
G21C17/003 (EP,US) 
Y02E30/30 (EP,US)";"2015-11-04 
2016-08-03 
2018-03-07";03.07.2014;51021111
108;DEBRIS FILTER FOR NUCLEAR REACTOR INSTALLATION AND NUCLEAR FUEL ASSEMBLY COMPRISING SUCH A DEBRIS FILTER;The debris filter (20) comprises a plurality of plates (26) arranged side-by-side in a spaced relationship and delimiting between them flow passages (28) extending through the debris filter from a lower inlet face (22) to an upper outlet face (24) of the debris filter, each passage (28) having an intermediate section (44) offset with respect to an inlet section (40) and an outlet section (42). According to one aspect of the invention, at least one plate (26) is formed with debris catching features (46, 60) distributed along the plate (26) and protruding into at least one passage (28) delimited by the plate (26).;"FRIEDRICH ERHARD [DE] 
KOCH ROBERT [DE] 
BLAVIUS DIRK [DE] 
TOLAR JAMES [US]";AREVA NP [FR];"EP2710599A1 
EP2710599B1";20.05.2011;"G21C3/32 
G21C3/322";"G21C3/32 (EP,KR,US) 
G21C3/3206 (EP,US) 
G21C3/322 (EP,KR,US) 
Y02E30/30 (EP,US)";"2014-03-26 
2015-07-01";21.11.2012;46085653
109;NUCLEAR FUEL ROD PLENUM SPRING ASSEMBLY;A nuclear fuel rod plenum spring assembly that has a spacer affixed to the lower end of the ground torsion spring. The spacer has a substantially flat surface on its underside that presses against the upper surface of the upper fuel pellets to spread the load of the spring over the top surface of the upper most fuel pellet.;"ALESHIN YURIY [US] 
GREEN STEPHEN H [US] 
ATWOOD ANDREW [US] 
SHAH HEMANT [US]";"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2661751A1 
EP2661751A4 
EP2661751B1";06.01.2011;"G21C3/18 
G21C3/16";"G21C3/16 (EP,US) 
G21C3/18 (EP,KR,US) 
Y02E30/30 (EP,KR,US)";"2013-11-13 
2017-10-04 
2019-11-06";12.07.2012;46455246
110;PIPE BASE REPAIR METHOD AND NUCLEAR REACTOR VESSEL;"A nozzle repair method and a nuclear reactor vessel include: removing a trepanning portion (208) as a connection portion with respect to an in-core instrumentation cylinder (204) in a groove-welding portion (206); removing the in-core instrumentation cylinder (204) from a lower end plate (66); forming a plug attachment opening (211) by removing the groove-welding portion (206); applying a pressing load to the lower end plate (66) by attaching a plug (212) to the plug attachment opening (211); and welding and fixing the plug (212) attached to the plug attachment opening (211). Accordingly, since a repair is easily performed, it is possible to improve the workability and to decrease a repair cost.";"NISHIMURA TSUYOSHI [JP] 
YAMAMOTO TAKESHI [JP] 
SAKASHITA HIDESHI [JP] 
SATO TOMONOBU [JP] 
YAMAMOTO AKIO [JP]";MITSUBISHI HEAVY IND LTD [JP];"EP2940693A1 
EP2940693A4 
EP2940693B1";28.12.2012;"G21C1/08 
G21C13/00 
G21C13/036 
G21C13/06 
G21C17/003 
G21C17/017 
G21C17/10 
G21C19/02 
G21C19/20";"G21C13/036 (EP,US) 
G21C13/067 (US) 
G21C13/0675 (US) 
G21C17/017 (EP,US) 
G21C19/02 (EP,US) 
G21C19/207 (EP,US) 
G21C1/086 (EP,US) 
G21C13/06 (EP,US) 
G21C17/003 (EP,US) 
Y02E30/30 (EP,US)";"2015-11-04 
2016-08-10 
2018-08-08";03.07.2014;51021112
111;NUCLEAR FUEL ASSEMBLY HOLD DOWN SPRING;A nuclear fuel assembly having a plurality of multi-leaf hold down spring sets extending from a top nozzle. Each spring set consists of a multiple number of springs leafs in order to provide a large working range of spring deflection. Each spring leaf has a straight, flat base section followed by a straight, flat tapered beam with a secondary spring set having a curvature at its peripheral end.;"LEE YU CHUNG [US] 
CHOI JOONHYUNG [US]";"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2628159A1 
EP2628159A4 
EP2628159B1";11.10.2010;"G21C15/00 
G21C3/12 
G21C3/33";"G21C15/00 (KR) 
G21C3/00 (KR) 
G21C3/12 (EP,US) 
G21C3/331 (EP,US) 
G21C3/3315 (EP,US) 
Y02E30/30 (EP,US)";"2013-08-21 
2017-08-02 
2018-07-18";12.04.2012;45925126
112;LOWER END FITTING LOCATING PINS;A nuclear reactor has a core installed on a lower core plate and formed from multiple fuel assemblies, each fuel assembly including a structural cage assembly. The structural cage assembly has an upper end fitting, mid grids, and a lower end fitting (LEF). The LEF positions the fuel assembly using four locating pins located at each corner of the LEF. The pins position the fuel assembly laterally by mating with receiving holes in the lower core plate. The locating pins have a chamfered tip with a flat end. The chamfered tip allows for a greater positioning margin when installing the fuel assembly in the core by guiding the pins into holes in the lower core plate, and the flat tip provides strength and stability in case the assembly is inadvertently rested on the tip of the pin instead of the LEF pads.;"ULLMANN JULIUS M [US] 
WALTON LEWIS A [US] 
JOHNSON MARY W [US]";BABCOCK & WILCOX MPOWER INC [US];"EP2839481A1 
EP2839481A4 
EP2839481B1";17.04.2012;"G21C15/243 
G21C3/12 
G21C3/33 
G21C5/06 
G21C1/32";"G21C3/12 (EP,US) 
G21C3/326 (US) 
G21C3/3305 (EP,CN,US) 
G21C5/06 (EP,CN,US) 
G21C1/32 (EP,CN,US) 
Y02E30/30 (EP,US)";"2015-02-25 
2015-12-16 
2017-08-02";17.10.2013;49325099
113;METHOD AND APPARATUS FOR REFUELING A NUCLEAR REACTOR HAVING AN INSTRUMENTATION PENETRATION FLANGE;Apparatus and a method for retracting in-core instrument thimble tubes from the reactor core prior to refueling a nuclear reactor with top mounted instrumentation. The apparatus includes a penetration flange interposed between the head flange and the reactor vessel flange through which the instrumentation cabling passes. The penetration flange is connected to the upper internals and can be raised relative thereto to retract instrumentation thimbles from the core prior to removal of the upper internals from the reactor vessel for refueling. The penetration flange is removed from the vessel with the upper internals.;HARKNESS ALEXANDER W [US];"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2946389A2 
EP2946389A4 
EP2946389B1";27.04.2012;"G21C1/32 
G21C19/10 
G21C19/18 
G21C19/32 
G21C5/10";"G21C19/10 (EP,CN,US) 
G21C19/18 (CN) 
G21C19/32 (CN) 
G21C5/10 (EP,CN,US) 
G21C1/32 (EP,US) 
Y02E30/30 (EP,US)";"2015-11-25 
2016-08-24 
2018-05-23";17.07.2014;51165138
114;Helically fluted tubular fuel rod support;A support grid for a nuclear fuel assembly, the fuel rod assembly having a generally cylindrical fuel rod with a diameter, wherein the support grid includes a frame assembly having a plurality of generally uniform cells, each the cell having at least one wall and a width and at least one generally cylindrical tubular member having a cell contact portion with a greater diameter and at least one helical fuel rod contact portion with a lesser diameter, the cell contact portion and the fuel rod contact portion joined by a transition portion, the greater diameter being generally equivalent to the cell width, and the lesser diameter being generally equivalent to the fuel rod diameter such that a fuel rod disposed in the tubular member would engage the inner diameter. Wherein the least one tubular member disposed in one cell of the plurality of generally square cells so that the cell contact portion engages the at least one cell sidewall.;XIAOYAN JIANG [US];WESTINGHOUSE ELECTRIC CORP [US];"EP1679722A1 
EP1679722B1";11.01.2005;"G21C3/344 
G21C3/352 
G21C3/356";"G21C3/344 (EP,US) 
G21C3/352 (EP,US) 
G21C3/356 (EP,US) 
Y02E30/30 (EP,US)";"2006-07-12 
2009-10-21";12.07.2006;36084267
